Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone,InstructionRooms,SealingRooms,BaptismRooms,SquareFootage,Acreage,Announcement,Groundbreaking,Dedication,US
Perth Australia Temple,-31.906905,115.869834,"31°54'24""S","115°52'11""E",163-173 Wordsworth Avenue,Yokine,Western Australia,6060,Australia,(+61) 8-9276-0000,2,2,1,10700,2.76,1999-06-11,1999-11-20,2001-05-20,FALSE
Winter Quarters Nebraska Temple,41.334075,-95.96619,"41°20'2""N","95°57'58""W",8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406,2,2,1,16000,1.92,1999-06-14,1999-11-28,2001-04-22,TRUE
The Hague Netherlands Temple,52.054487,4.502979,"52°3'16""N","4°30'10""E",Osijlaan 2,Zoetermeer,NA,NL-2722 CV,Netherlands,(+31) 79-343-5310,2,2,1,10500,2.7,1999-08-16,2000-08-26,2002-09-08,FALSE
Snowflake Arizona Temple,34.502494,-110.111607,"34°30'8""N","110°6'41""W",1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626,2,2,1,18621,7.5,2000-04-02,2000-09-23,2002-03-03,TRUE
Columbia River Washington Temple,46.226733,-119.274893,"46°13'36""N","119°16'29""W",969 Gage Boulevard,Richland,Washington,99352,United States,(+1) 509-628-0990,2,2,1,16880,2.88,2000-04-02,2000-10-28,2001-11-18,TRUE
Lubbock Texas Temple,33.528961,-101.941413,"33°31'44""N","101°56'29""W",7016 Frankford Avenue,Lubbock,Texas,79424,United States,(+1) 806-794-0774,2,2,1,16498,2.7,2000-04-02,2000-11-04,2002-04-21,TRUE
Monterrey Mexico Temple,25.589364,-100.259975,"25°35'21""N","100°15'35""W",Avenida Eugenio Garza Sada Esquina Privada Valle de la Estanzuela Colonia Valle Alto,Monterrey,Nuevo León,64989,Mexico,(+52) 81-8104-0635,2,2,1,16498,7.78,1995-12-21,2000-11-04,2002-04-28,FALSE
Asunción Paraguay Temple,-25.287916,-57.602869,"25°17'16""S","57°36'10""W",Esquina Brasilia y España,Asunción,NA,1441,Paraguay,(+595) 21-216-92,2,2,1,11906,1.13,2000-04-02,2001-02-03,2002-05-19,FALSE
Brisbane Australia Temple,-27.480886,153.033841,"27°28'51""S","153°2'1""E",200 River Terrace,Kangaroo Point,Queensland,4169,Australia,(+61) 7-3240-3600,2,2,1,10700,0.86,1998-07-20,2001-05-26,2003-06-15,FALSE
Accra Ghana Temple,5.56749,-0.193706,"5°34'2""N","-0°11'37""E",57 Independence Avenue North Ridge PMB CT 209 Cantonments,Accra,NA,NA,Ghana,(+233) 302-650-123,2,2,1,17500,6,1998-02-16,2001-11-16,2004-01-11,FALSE
Redlands California Temple,34.049037,-117.140579,"34°2'56""N","117°8'26""W",1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369,2,3,1,17300,4.6,2001-04-21,2001-12-01,2003-09-14,TRUE
Aba Nigeria Temple,5.147644,7.356719,"5°8'51""N","7°21'24""E",Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank,Aba,Abia State,NA,Nigeria,(+234) 80-3903-4804,2,2,1,11500,6.3,2000-04-02,2002-02-23,2005-08-07,FALSE
Manhattan New York Temple,40.773112,-73.981622,"40°46'23""N","73°58'53""W",125 Columbus Avenue,New York,New York,10023-6514,United States,(+1) 917-441-8220,2,2,1,20630,0.3,2002-08-07,2002-09-23,2004-06-13,TRUE
Helsinki Finland Temple,60.225193,24.781785,"60°13'30""N","24°46'54""E",Leppäsillantie 3,Espoo,NA,FI-02620,Finland,(+358) 9-849-3710,2,2,1,16350,7.4,2000-04-02,2003-03-29,2006-10-22,FALSE
San Antonio Texas Temple,29.641481,-98.488789,"29°38'29""N","98°29'19""W",20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034,2,2,1,16800,5.5,2001-06-24,2003-03-29,2005-05-22,TRUE
Newport Beach California Temple,33.629627,-117.848766,"33°37'46""N","117°50'55""W",2300 Bonita Canyon Drive,Newport Beach,California,92660-9118,United States,(+1) 949-644-1820,2,3,1,17800,8.8,2001-04-21,2003-08-15,2005-08-28,TRUE
Sacramento California Temple,38.635116,-121.193925,"38°38'6""N","121°11'38""W",2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870,2,4,1,19500,46,2001-04-21,2004-08-22,2006-09-03,TRUE
Curitiba Brazil Temple,-25.441304,-49.342138,"25°26'28""S","49°20'31""W",Rua Deputado Heitor Alencar Furtado 3641 Mossunguê,Curitiba,Paraná,81200-110,Brazil,(+55) 41-3204-6650,2,2,1,27850,8.15,2002-08-23,2005-03-10,2008-06-01,FALSE
Rexburg Idaho Temple,43.810922,-111.778979,"43°48'39""N","111°46'44""W",750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880,4,5,1,57504,10,2003-12-12,2005-07-30,2008-02-10,TRUE
Panama City Panama Temple,8.99146,-79.57048,"8°59'29""N","79°34'13""W",Calle Rufina 3172,Ancón,Cárdenas,NA,Panama,(+507) 201-6233,2,2,1,18943,6.96,2002-08-23,2005-10-30,2008-08-10,FALSE
Twin Falls Idaho Temple,42.586827,-114.441509,"42°35'12""N","114°26'29""W",1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070,2,3,1,31245,9.1,2004-10-02,2006-04-15,2008-08-24,TRUE
Draper Utah Temple,40.495893,-111.840748,"40°29'45""N","111°50'26""W",14065 Canyon Vista Lane,Draper,Utah,84020-5626,United States,(+1) 801-576-4240,4,5,1,58300,12,2004-10-02,2006-08-05,2009-03-20,TRUE
Oquirrh Mountain Utah Temple,40.551145,-111.98751,"40°33'4""N","111°59'15""W",11022 South 4000 West,South Jordan,Utah,84095-5797,United States,(+1) 801-878-3800,4,6,1,60000,11,2005-10-01,2006-12-16,2009-08-21,TRUE
Kyiv Ukraine Temple,50.404517,30.395565,"50°24'16""N","30°23'44""E",1 Yabluneva Street v. Sofiivs'ka Borshchagivka,Kyevo-Sviatoshyns'ky Rayon,Kyivs'ka Oblast,08131,Ukraine,(+380) 44-371-4088,2,2,1,22184,12.35,1998-07-20,2007-06-23,2010-08-29,FALSE
Vancouver British Columbia Temple,49.151212,-122.658009,"49°9'4""N","122°39'28""W",20370 82nd Avenue,Langley,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933,2,2,1,28165,11.6,2006-05-25,2007-08-04,2010-05-02,FALSE
Cebu City Philippines Temple,10.327659,123.898299,"10°19'39""N","123°53'53""E",Gorordo Avenue Barangay Lahug,Cebu City,Cebu,6000,Philippines,(+63) 32-230-1207,2,2,1,29556,11.6,2006-04-18,2007-11-14,2010-06-13,FALSE
Manaus Brazil Temple,-3.073907,-60.089331,"3°4'26""S","60°5'21""W",Avenida Coronel Texeira 3162 Ponta Negra,Manaus,Amazonas,69037-000,Brazil,(+55) 92-3212-7270,2,2,1,32032,7.7,2007-05-23,2008-06-20,2012-06-10,FALSE
San Salvador El Salvador Temple,13.683347,-89.246822,"13°41'0""N","89°14'48""W",Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,La Libertad,NA,El Salvador,(+503) 2520-2631,2,2,1,27986,6.5,2007-11-18,2008-09-20,2011-08-21,FALSE
The Gila Valley Arizona Temple,32.862971,-109.789974,"32°51'46""N","109°47'23""W",5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243,2,2,1,18561,17,2008-04-26,2009-02-14,2010-05-23,TRUE
Quetzaltenango Guatemala Temple,14.846493,-91.542517,"14°50'47""N","91°32'33""W",9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,NA,09000,Guatemala,(+502) 7728-1603,2,2,1,21085,6.47,2006-12-16,2009-03-14,2011-12-11,FALSE
Tegucigalpa Honduras Temple,14.052174,-87.238019,"14°3'7""N","87°14'16""W",Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur,Comayagüela,Francisco Morazán,NA,Honduras,(+504) 2264-1212,2,2,1,28254,13.6,2006-06-09,2009-09-12,2013-03-17,FALSE
Kansas City Missouri Temple,39.220473,-94.501331,"39°13'13""N","94°30'4""W",7001 Searcy Creek Parkway,Kansas City,Missouri,NA,United States,(+1) 816-413-1430,2,3,1,32000,8.05,2008-10-04,2010-05-08,2012-05-06,TRUE
Calgary Alberta Temple,51.140861,-114.2333,"51°8'27""N","114°13'59""W",9802 Rocky Ridge Road NW,Calgary,Alberta,T3G 5J7,Canada,(+1) 403-241-4250,2,3,1,33000,10.17,2008-10-04,2010-05-15,2012-10-28,FALSE
Brigham City Utah Temple,41.505376,-112.016592,"41°30'19""N","112°0'59""W",250 South Main Street,Brigham City,Utah,84302-2120,United States,(+1) 435-695-2170,2,3,1,36000,3.14,2009-10-03,2010-07-31,2012-09-23,TRUE
Rome Italy Temple,41.970437,12.544764,"41°58'13""N","12°32'41""E",Via di Settebagni 376,Rome,NA,NA,Italy,(+39) 06-9480-5050,2,3,1,41010,14.5,2008-10-04,2010-10-23,2019-03-10,FALSE
Córdoba Argentina Temple,-31.358873,-64.245809,"31°21'31""S","64°14'44""W",Avenida Pedro Simón Laplace 5637 Villa Belgrano,Córdoba,NA,NA,Argentina,(+54) 354-340-6200,2,2,1,34369,5.18,2008-10-04,2010-10-30,2015-05-17,FALSE
Gilbert Arizona Temple,33.291378,-111.737365,"33°17'28""N","111°44'14""W",3301 S Greenfield Rd,Gilbert,Arizona,85297,United States,(+1) 480-822-5000,3,7,1,85326,15.38,2008-04-26,2010-11-13,2014-03-02,TRUE
Phoenix Arizona Temple,33.698555,-112.172329,"33°41'54""N","112°10'20""W",5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500,2,4,1,64870,5.19,2008-05-24,2011-06-04,2014-11-16,TRUE
Fort Lauderdale Florida Temple,26.070899,-80.355727,"26°4'15""N","80°21'20""W",3901 SW 154th Avenue,Davie,Florida,33331,United States,(+1) 954-382-8390,2,3,1,30500,16.82,2009-10-03,2011-06-18,2014-05-04,TRUE
Trujillo Peru Temple,-8.100149,-79.058515,"8°6'0""S","79°3'30""W",Av. Mansiche Km 35 Carretera hacia Huanchaco,Trujillo,La Libertad,NA,Peru,(+51) 44-602-130,2,2,1,28200,8.9,2008-12-13,2011-09-14,2015-06-21,FALSE
Philadelphia Pennsylvania Temple,39.959174,-75.168072,"39°57'33""N","75°10'5""W",1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040,2,4,1,61466,1.6,2008-10-04,2011-09-17,2016-09-18,TRUE
Payson Utah Temple,40.019258,-111.749175,"40°1'9""N","111°44'57""W",1494 South 930 West,Payson,Utah,NA,United States,(+1) 801-754-4949,3,7,1,96630,10.63,2010-01-25,2011-10-08,2015-06-07,TRUE
Sapporo Japan Temple,43.0249,141.4457,"43°1'29""N","141°26'44""E",1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,Hokkaid?,004-0042,Japan,(+81) 11-890-8120,2,3,1,48480,9.8,2009-10-03,2011-10-22,2016-08-21,FALSE
Fortaleza Brazil Temple,-3.747847,-38.46101,"3°44'52""S","38°27'39""W",Avenida Santos Dumont 7771,Fortaleza,Ceará,60177-415,Brazil,(+55) 85-3533-7150,2,2,1,36000,10,2009-10-03,2011-11-15,2019-06-02,FALSE
Provo City Center Temple,40.232667,-111.659299,"40°13'57""N","111°39'33""W",50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700,3,5,1,85084,5.6,2011-10-01,2012-05-12,2016-03-20,TRUE
Tijuana Mexico Temple,32.488713,-116.929441,"32°29'19""N","116°55'45""W",Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,Baja California,22226,Mexico,(+52) 664-969-2690,2,2,1,33367,9.4,2010-10-02,2012-08-18,2015-12-13,FALSE
Paris France Temple,48.817892,2.123171,"48°49'4""N","2°7'23""E",46 Boulevard Saint-Antoine 15-21 rue du General Welvert,Le Chesnay,NA,78150,France,(+33) 970-73-70-00,2,3,1,44175,2.26,2011-10-01,2012-08-24,2017-05-21,FALSE
Indianapolis Indiana Temple,39.955588,-86.165741,"39°57'20""N","86°9'56""W",11565 Temple Dr,Carmel,Indiana,NA,United States,(+1) 317-993-3800,2,2,1,34000,18.11,2010-10-02,2012-09-29,2015-08-23,TRUE
Hartford Connecticut Temple,41.737552,-72.844666,"41°44'15""N","72°50'40""W",2 Central Way,Farmington,Connecticut,06032,United States,(+1) 860-773-7200,2,2,1,32246,11.3,2010-10-02,2013-08-17,2016-11-20,TRUE
Fort Collins Colorado Temple,40.494269,-105.038685,"40°29'39""N","105°2'19""W",2180 Majestic Drive,Fort Collins,Colorado,NA,United States,(+1) 970-797-4630,2,3,1,42000,15.69,2011-04-02,2013-08-24,2016-10-16,TRUE
Meridian Idaho Temple,43.671022,-116.415115,"43°40'15""N","116°24'54""W",7355 North Linder Road,Meridian,Idaho,NA,United States,(+1) 208-957-7300,3,5,1,67331,15.73,2011-04-02,2014-08-23,2017-11-19,TRUE
Star Valley Wyoming Temple,42.712073,-110.932532,"42°42'43""N","110°55'57""W",885 South Washington Street,Afton,Wyoming,NA,United States,(+1) 307-886-6820,1,1,1,18609,43.6,2011-10-01,2015-04-25,2016-10-30,TRUE
Cedar City Utah Temple,37.671734,-113.096271,"37°40'18""N","113°5'46""W",280 S Cove Dr,Cedar City,Utah,84720,United States,(+1) 435-572-4150,2,3,1,42657,9.5,2013-04-06,2015-08-08,2017-12-10,TRUE
Concepción Chile Temple,-36.851499,-73.049966,"36°51'5""S","73°2'59""W",1525 Pedro de Valdivia,Concepción,Bío-Bío,NA,Chile,(+56) 41-383-4700,2,2,1,23095,4.06,2009-10-03,2015-10-17,2018-10-28,FALSE
Tucson Arizona Temple,32.338454,-110.949174,"32°20'18""N","110°56'57""W",7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900,2,2,1,38216,7,2012-10-06,2015-10-17,2017-08-13,TRUE
Lisbon Portugal Temple,38.779187,-9.098784,"38°46'45""N","9°5'55""W",Avenida Dom João II 1990-364 Moscavide,Lisbon,NA,NA,Portugal,(+351) 308-811-650,NA,NA,NA,23730,4.6,2010-10-02,2015-12-05,2019-09-15,FALSE
Kinshasa Democratic Republic of the Congo Temple,-4.327478,15.27371,"4°19'38""S","15°16'25""E",Avenue de l'OUA Commune de Ngaliema,Kinshasa,NA,NA,Democratic Republic of the Congo,(+243) 815-590-060,1,1,1,12000,5,2011-10-01,2016-02-12,2019-04-14,FALSE
Barranquilla Colombia Temple,11.016798,-74.86261,"11°1'0""N","74°51'45""W",Carrera 30 No. 1-1481 Villa Campestre,Barranquilla,Atlántico,NA,Colombia,(+57) 5-310-0200,NA,NA,NA,24000,NA,2011-10-01,2016-02-20,2018-12-09,FALSE
Durban South Africa Temple,-29.708455,31.073671,"29°42'30""S","31°4'25""E",2 Izinga Drive Izinga Ridge,Umhlanga,KwaZulu-Natal,4021,South Africa,(+27) 31-140-024,1,1,1,19860,14.49,2011-10-01,2016-04-09,2020-02-16,FALSE
Winnipeg Manitoba Temple,49.800544,-97.195212,"49°48'1""N","97°11'42""W",2 Centre Street,Winnipeg,Manitoba,NA,Canada,NA,NA,NA,NA,NA,NA,2011-04-02,2016-12-03,NA,FALSE
Arequipa Peru Temple,-16.375203,-71.538477,"16°22'30""S","71°32'18""W",Avenida Cusco 380 Carmen Alto,Arequipa,Arequipa,NA,Peru,(+51) 54-640-300,NA,NA,NA,26969,7.91,2012-10-06,2017-03-04,2019-12-15,FALSE
Rio de Janeiro Brazil Temple,-23.000894,-43.399918,"23°0'3""S","43°23'59""W",Avenida das Américas 8547 Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22621-120,Brazil,NA,NA,NA,NA,NA,NA,2013-04-06,2017-03-04,NA,FALSE
Port-au-Prince Haiti Temple,18.529017,-72.268143,"18°31'44""N","72°16'5""W",Route de Freres Delmas 105 Petionville,Port-au-Prince,NA,NA,Haiti,(+509) 2262-5810,1,1,1,10396,NA,2015-04-05,2017-10-28,2019-09-01,FALSE
Abidjan Côte d'Ivoire Temple,5.362307,-3.976865,"5°21'44""N","3°58'36""W",NA,Abidjan,NA,NA,Cote d'Ivoire,NA,NA,NA,NA,NA,NA,2015-04-05,2018-11-08,NA,FALSE
Urdaneta Philippines Temple,15.938567,120.581762,"15°56'18""N","120°34'54""E",MacArthur Highway,Urdaneta,NA,NA,Philippines,NA,NA,NA,NA,NA,NA,2010-10-02,2019-01-16,NA,FALSE
Bangkok Thailand Temple,13.749491,100.562527,"13°44'58""N","100°33'45""E",1645/6 New Petchaburi Road Makkasan Ratchathewi,Bangkok,NA,10400,Thailand,NA,NA,NA,NA,NA,NA,2015-04-05,2019-01-26,NA,FALSE
Pocatello Idaho Temple,42.915259,-112.406374,"42°54'54""N","112°24'22""W",3100 Butte Street,Pocatello,Idaho,83201,United States,NA,NA,NA,NA,NA,NA,2017-04-02,2019-03-16,NA,TRUE
Praia Cabo Verde Temple,14.918789,-23.511157,"14°55'7""N","23°30'40""W",Av. Cidade de Lisboa,Praia,NA,NA,Cape Verde,NA,NA,NA,NA,NA,NA,2018-10-07,2019-05-04,NA,FALSE
San Juan Puerto Rico Temple,18.385623,-66.029896,"18°23'8""N","66°1'47""W",123 Calle Ronda Urbanización Villa Andalucía,San Juan,NA,00926,Puerto Rico,NA,NA,NA,NA,NA,NA,2018-10-07,2019-05-04,NA,FALSE
Yigo Guam Temple,13.541741,144.890143,"13°32'30""N","144°53'24""E",Marine Corps Drive and Milalak Drive,Yigo,NA,NA,Guam,NA,NA,NA,NA,NA,NA,2018-10-07,2019-05-04,NA,FALSE
Quito Ecuador Temple,-0.213711,-78.441018,"-0°12'49""N","78°26'27""W",NA,Cumbayá,NA,NA,Ecuador,NA,NA,NA,NA,NA,NA,2016-04-03,2019-05-11,NA,FALSE
Lima Peru Los Olivos Temple,-12.019992,-77.054237,"12°1'11""S","77°3'15""W",Eloy Espinoza Urbanización Ingenieria San Martín de Porres,Lima,Lima,NA,Peru,NA,NA,NA,NA,NA,NA,2016-04-03,2019-06-08,NA,FALSE
Belém Brazil Temple,-1.387242,-48.459894,"1°23'14""S","48°27'35""W",Av. Centenário Val de Caes,Belém,Pará,NA,Brazil,NA,NA,NA,NA,NA,NA,2016-04-03,2019-08-17,NA,FALSE
Saratoga Springs Utah Temple,40.343707,-111.933257,"40°20'37""N","111°55'59""W",987 South Ensign Drive,Saratoga Springs,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2017-04-02,2019-10-19,NA,TRUE
Puebla Mexico Temple,19.085418,-98.235514,"19°5'7""N","98°14'7""W",15 de Mayo Los Cipreses,Puebla,NA,NA,Mexico,NA,NA,NA,NA,NA,NA,2018-10-07,2019-11-30,NA,FALSE
Richmond Virginia Temple,37.672884,-77.535372,"37°40'22""N","77°32'7""W",10915 Staples Mill Rd,Glen Allen,Virginia,NA,United States,NA,NA,NA,NA,NA,NA,2018-04-01,2020-04-11,NA,TRUE
Layton Utah Temple,41.061699,-111.938379,"41°3'42""N","111°56'18""W",1400 East Oakhills Drive (approximate),Layton,Utah,84040,United States,NA,NA,NA,NA,NA,NA,2018-04-01,2020-05-23,NA,TRUE
Alabang Philippines Temple,14.412913,121.037838,"14°24'46""N","121°2'16""E",Filinvest Avenue and Corporate Avenue Alabang,Muntinlupa,Metro Manila,NA,Philippines,NA,NA,NA,NA,NA,NA,2017-04-02,2020-06-04,NA,FALSE
Auckland New Zealand Temple,-36.993227,174.890191,"36°59'35""S","174°53'24""E",Redoubt Road Manukau,Auckland,NA,NA,New Zealand,NA,NA,NA,NA,NA,NA,2018-10-07,2020-06-13,NA,FALSE
Feather River California Temple,39.146344,-121.639963,"39°8'46""N","121°38'23""W",1470 Butte House Road,Yuba City,California,95993,United States,NA,NA,NA,NA,NA,NA,2018-10-07,2020-07-18,NA,TRUE
Orem Utah Temple,40.270755,-111.720916,"40°16'14""N","111°43'15""W",1471 South Geneva Road (approximate),Orem,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2019-10-05,2020-09-05,NA,TRUE
San Pedro Sula Honduras Temple,15.522544,-88.036856,"15°31'21""N","88°2'12""W",Bulevar Mario Catarino Rivas,San Pedro Sula,Cortés,NA,Honduras,NA,NA,NA,NA,NA,NA,2019-04-07,2020-09-05,NA,FALSE
Brasília Brazil Temple,-15.747835,-47.880945,"15°44'52""S","47°52'51""W",GA/Norte Quadra 612 ? Lote,Brasília,Distrito Federal,NA,Brazil,NA,NA,NA,NA,NA,NA,2017-04-02,2020-09-26,NA,FALSE
Moses Lake Washington Temple,47.103441,-119.272362,"47°6'12""N","119°16'20""W",NA,Moses Lake,Washington,NA,United States,NA,NA,NA,NA,NA,NA,2019-04-07,2020-10-10,NA,TRUE
Taylorsville Utah Temple,40.66671159,-111.95411,"40°40'0""N","111°57'14""W",2603 West 4700 South,Taylorsville,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2019-10-05,2020-10-31,NA,TRUE
Salta Argentina Temple,-24.837197,-65.470001,"24°50'13""S","65°28'12""W",Ruta 51,Salta,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,2018-04-01,2020-11-04,NA,FALSE
Bentonville Arkansas Temple,36.384867,-94.181319,"36°23'5""N","94°10'52""W",1101 McCollum Drive,Bentonville,Arkansas,NA,United States,NA,NA,NA,NA,NA,NA,2019-10-05,2020-11-07,NA,TRUE
Red Cliffs Utah Temple,37.082184,-113.519741,"37°4'55""N","113°31'11""W",Northeast of 3000 E and 1580 S,St. George,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2018-10-07,2020-11-07,NA,TRUE
Cobán Guatemala Temple,15.459077,-90.365166,"15°27'32""N","90°21'54""W",4a. Avenida 4-48 Zona 8 Barrio Bella Vista,Cobán,Alta Verapaz,NA,Guatemala,NA,NA,NA,NA,NA,NA,2019-10-05,2020-11-14,NA,FALSE
Davao Philippines Temple,7.088597,125.579755,"7°5'18""N","125°34'47""E",Ma-a Road and Anahaw Road Barangay Ma-a,Davao City,Davao del Sur,8000,Philippines,NA,NA,NA,NA,NA,NA,2018-10-07,2020-11-14,NA,FALSE
McAllen Texas Temple,26.268118,-98.211125,"26°16'5""N","98°12'40""W",300 West Trenton Road,McAllen,Texas,NA,United States,NA,NA,NA,NA,NA,NA,2019-10-05,2020-11-21,NA,TRUE
Antofagasta Chile Temple,-23.571891,-70.394525,"23°34'18""S","70°23'40""W",Avenida de Las Palmeras 44,Antofagasta,NA,NA,Chile,NA,NA,NA,NA,NA,NA,2019-04-07,2020-11-27,NA,FALSE
Bengaluru India Temple,12.992096,77.704714,"12°59'31""N","77°42'16""E",2-B Whitefield Main Road Garudachar Palya Mahadevapura,Bengaluru,Karnataka,560048,India,NA,NA,NA,NA,NA,NA,2018-04-01,2020-12-02,NA,FALSE
Okinawa Japan Temple,26.358285,127.801718,"26°21'29""N","127°48'6""E",7-11 Matsumoto,Okinawa Shi,Okinawa-ken,NA,Japan,NA,NA,NA,NA,NA,NA,2019-04-07,2020-12-05,NA,FALSE
Harare Zimbabwe Temple,-17.804085,31.082426,"17°48'14""S","31°4'56""E",65 Enterprise Road Highlands,Harare,NA,NA,Zimbabwe,NA,NA,NA,NA,NA,NA,2016-04-03,2020-12-12,NA,FALSE
Mendoza Argentina Temple,-32.863757,-68.881592,"32°51'49""S","68°52'53""W",Avenida Champagnat,Las Heras,Mendoza,NA,Argentina,NA,NA,NA,NA,NA,NA,2018-10-07,2020-12-17,NA,FALSE
Bahía Blanca Argentina Temple,-38.69117,-62.235937,"38°41'28""S","62°14'9""W",NA,Bahia Blanca,NA,NA,Argentina,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,FALSE
Deseret Peak Utah Temple,40.570243,-112.31522,"40°34'12""N","112°18'54""W",West of 2400 North 400 West,Tooele,Utah,84074,United States,NA,NA,NA,NA,NA,NA,2019-04-07,NA,NA,TRUE
Lindon Utah Temple,40.33717851,-111.695189,"40°20'13""N","111°41'42""W",Near 800 East and Center Street,Lindon,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2020-10-04,NA,NA,TRUE
Neiafu Tonga Temple,-18.64422855,-173.9776,"18°38'39""S","173°58'39""W",Tu?I Road,Neiafu,Vava'u,NA,Tonga,NA,NA,NA,NA,NA,NA,2019-04-07,NA,NA,FALSE
Pago Pago American Samoa Temple,-14.333959,-170.73199,"14°20'2""S","170°43'55""W",Ottoville Road,Tafuna,Western District,96799,American Samoa,NA,NA,NA,NA,NA,NA,2019-04-07,NA,NA,FALSE
Phnom Penh Cambodia Temple,11.569891,104.895707,"11°34'11""N","104°53'44""E",Russian Confederation Street,Phnom Penh,NA,NA,Cambodia,NA,NA,NA,NA,NA,NA,2018-10-07,NA,NA,FALSE
Pittsburgh Pennsylvania Temple,40.69404827,-80.140918,"40°41'38""N","80°8'27""W",2093 Powell Road,Cranberry Township,Pennsylvania,16066,United States,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,TRUE
Port Moresby Papua New Guinea Temple,-9.477474,147.176546,"9°28'38""S","147°10'35""E",Muniogo Crescent Badili,Port Moresby,NA,NA,Papua New Guinea,NA,NA,NA,NA,NA,NA,2019-10-05,NA,NA,FALSE
Salvador Brazil Temple,-12.929251,-38.386386,"12°55'45""S","38°23'10""W",NA,Salvador,Bahia,NA,Brazil,NA,NA,NA,NA,NA,NA,2018-10-07,NA,NA,FALSE
Syracuse Utah Temple,41.099938,-112.076542,"41°5'59""N","112°4'35""W",2500 West and 1025 South,Syracuse,Utah,NA,United States,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,TRUE
Tallahassee Florida Temple,30.520117,-84.238222,"30°31'12""N","84°14'17""W",2440 Papillon Way,Tallahassee,Florida,NA,United States,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,TRUE
Bacolod Philippines Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-05,NA,NA,NA
Benin City Nigeria Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,NA
Budapest Hungary Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-07,NA,NA,NA
Cagayan de Oro Philippines Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-01,NA,NA,NA
Dubai United Arab Emirates Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,NA
Freetown Sierra Leone Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-05,NA,NA,NA
Greater Guatemala City Guatemala Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-04,NA,NA,NA
Lagos Nigeria Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-10-07,NA,NA,NA
Lubumbashi Democratic Republic of the Congo Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-05,NA,NA,NA
Managua Nicaragua Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-04-01,NA,NA,NA
Nairobi Kenya Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-04-02,NA,NA,NA
Port Vila Vanuatu Temple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-04,NA,NA,NA
